jf_insertion,count
32,92
23,209
162,1
99,3
74,1
24,204
179,6
116,1477
15,82
16,41
108,31
7,1
33,25
8,2
100,4
138,1
75,1
25,131
117,752
0,98
92,4
42,10
17,36
109,31
147,4
34,8
9,1
101,15
76,2
26,62
118,58
1,1
18,194
110,33
35,4
10,1
102,16
77,1
52,1
27,101
119,8
2,3
19,148
111,50
86,2
61,1
36,2
191,1
112,19
11,3
103,7
28,83
104,20
3,1
95,3
70,1
121,1
20,78
96,10
150,1
37,1
113,39
12,2
88,2
54,3
29,417
105,21
4,3
122,3
21,38
97,6
114,45
13,14
30,9459
106,18
5,2
81,1
123,2
22,139
98,8
136,1
39,1
115,263
14,110
31,2989
107,22
57,2
